n,p,M,trim,theta,count,survival,micro_cost,slack
512,760321,1485,5,0.75,612,0.412121212121,0.601133782897,0.000066217103
512,620033,1211,5,0.75,499,0.412056151941,0.601038883942,0.000161116058
512,417793,816,5,0.75,336,0.411764705882,0.600613770974,0.000586229026
256,202753,792,5,0.75,323,0.407828282828,0.594871972659,0.006328027341
512,262657,513,5,0.75,209,0.407407407407,0.594258069694,0.006941930306
512,629249,1229,5,0.75,500,0.406834825061,0.593422881934,0.007777118066
1024,1355777,1324,5,0.75,537,0.405589123867,0.591605860512,0.009594139488
256,251393,982,5,0.75,398,0.405295315682,0.591177302067,0.010022697933
256,226817,886,5,0.75,359,0.405191873589,0.591026417971,0.010173582029
256,318209,1243,5,0.75,501,0.403057119871,0.587912594804,0.013287405196
256,299521,1170,5,0.75,471,0.402564102564,0.587193463271,0.014006536729
1024,1198081,1170,5,0.75,471,0.402564102564,0.587193463271,0.014006536729
256,228353,892,5,0.75,359,0.402466367713,0.587050903949,0.014149096051
1024,1256449,1227,5,0.75,493,0.401792991035,0.586068694206,0.015131305794
256,286721,1120,5,0.75,450,0.401785714286,0.586058080096,0.015141919904
1024,737281,720,5,0.75,289,0.401388888889,0.585479257301,0.015720742699
1024,1067009,1042,5,0.75,418,0.401151631478,0.585133185706,0.016066814294
256,361217,1411,5,0.75,566,0.401133947555,0.585107391345,0.016092608655
256,293633,1147,5,0.75,460,0.401046207498,0.584979410763,0.016220589237
1024,1054721,1030,5,0.75,413,0.400970873786,0.584869526492,0.016330473508
512,475649,929,5,0.75,372,0.400430570506,0.584081422058,0.017118577942
1024,1113089,1087,5,0.75,435,0.400183992640,0.583721755336,0.017478244664
1024,1532929,1497,5,0.75,599,0.400133600534,0.583648251725,0.017551748275
512,340481,665,5,0.75,266,0.400000000000,0.583453377518,0.017746622482
512,577537,1128,5,0.75,451,0.399822695035,0.583194754567,0.018005245433
256,282881,1105,5,0.75,441,0.399095022624,0.582133347252,0.019066652748
512,456193,891,5,0.75,355,0.398428731762,0.581161473117,0.020038526883
256,380417,1486,5,0.75,592,0.398384925976,0.581097576532,0.020102423468
256,311041,1215,5,0.75,484,0.398353909465,0.581052334812,0.020147665188
512,724993,1416,5,0.75,564,0.398305084746,0.580981117444,0.020218882556
512,299521,585,5,0.75,233,0.398290598291,0.580959987016,0.020240012984
1024,925697,904,5,0.75,360,0.398230088496,0.580871725405,0.020328274595
512,301057,588,5,0.75,234,0.397959183673,0.580476574571,0.020723425429
1024,1062913,1038,5,0.75,413,0.397880539499,0.580361861548,0.020838138452
512,278017,543,5,0.75,216,0.397790055249,0.580229878194,0.020970121806
1024,1318913,1288,5,0.75,512,0.397515527950,0.579829443496,0.021370556504
1024,747521,730,5,0.75,290,0.397260273973,0.579457121507,0.021742878493
1024,1103873,1078,5,0.75,428,0.397031539889,0.579123482323,0.022076517677
1024,1156097,1129,5,0.75,448,0.396811337467,0.578802287706,0.022397712294
512,783361,1530,5,0.75,607,0.396732026144,0.578686601558,0.022513398442
256,362753,1417,5,0.75,562,0.396612561750,0.578512346798,0.022687653202
512,665089,1299,5,0.75,515,0.396458814473,0.578288085877,0.022911914123
