n,p,M,trim,theta,count,survival,micro_cost,slack
1024,1604609,1567,5,0.75,635,0.405232929164,0.591086303005,0.010113696995
256,503297,1966,5,0.75,790,0.401831129196,0.586124323803,0.015075676197
256,438017,1711,5,0.75,685,0.400350672122,0.583964879602,0.017235120398
512,904193,1766,5,0.75,705,0.399207248018,0.582297042964,0.018902957036
512,927233,1811,5,0.75,722,0.398674765323,0.581520345897,0.019679654103
512,794113,1551,5,0.75,618,0.398452611219,0.581196304491,0.020003695509
512,1004033,1961,5,0.75,780,0.397756246813,0.580180564079,0.021019435921
512,790529,1544,5,0.75,614,0.397668393782,0.580052418711,0.021147581289
512,817153,1596,5,0.75,634,0.397243107769,0.579432082309,0.021767917691
256,499969,1953,5,0.75,775,0.396825396825,0.578822795156,0.022377204844
256,498689,1948,5,0.75,773,0.396817248460,0.578810909678,0.022389090322
512,964097,1883,5,0.75,747,0.396707381837,0.578650654548,0.022549345452
256,489217,1911,5,0.75,758,0.396650968080,0.578568367554,0.022631632446
1024,1655809,1617,5,0.75,640,0.395794681509,0.577319359325,0.023880640675
256,394241,1540,5,0.75,608,0.394805194805,0.575876060927,0.025323939073
1024,1969153,1923,5,0.75,759,0.394695787832,0.575716476256,0.025483523744
1024,1689601,1650,5,0.75,651,0.394545454545,0.575497195097,0.025702804903
1024,1893377,1849,5,0.75,729,0.394267171444,0.575091282058,0.026108717942
1024,1810433,1768,5,0.75,697,0.394230769231,0.575038184573,0.026161815427
1024,1784833,1743,5,0.75,687,0.394148020654,0.574917484731,0.026282515269
512,786433,1536,5,0.75,605,0.393880208333,0.574526844724,0.026673155276
1024,1589249,1552,5,0.75,611,0.393685567010,0.574242934380,0.026957065620
256,420097,1641,5,0.75,646,0.393662400975,0.574209143627,0.026990856373
512,1025537,2003,5,0.75,788,0.393409885172,0.573840815632,0.027359184368
1024,1616897,1579,5,0.75,621,0.393286890437,0.573661411397,0.027538588603
256,520193,2032,5,0.75,799,0.393208661417,0.573547303933,0.027652696067
512,918529,1794,5,0.75,705,0.392976588629,0.573208794802,0.027991205198
256,421633,1647,5,0.75,647,0.392835458409,0.573002937544,0.028197062456
1024,1647617,1609,5,0.75,632,0.392790553139,0.572937437214,0.028262562786
1024,1942529,1897,5,0.75,745,0.392725355825,0.572842338232,0.028357661768
256,495617,1936,5,0.75,760,0.392561983471,0.572604037853,0.028595962147
512,808961,1580,5,0.75,620,0.392405063291,0.572375148831,0.028824851169
256,475649,1858,5,0.75,729,0.392357373520,0.572305586935,0.028894413065
1024,1856513,1813,5,0.75,711,0.392167677882,0.572028890534,0.029171109466
1024,1684481,1645,5,0.75,645,0.392097264438,0.571926183129,0.029273816871
256,462337,1806,5,0.75,707,0.391472868217,0.571015417919,0.030184582081
512,929281,1815,5,0.75,710,0.391184573003,0.570594900878,0.030605099122
256,490241,1915,5,0.75,749,0.391122715405,0.570504673317,0.030695326683
1024,1720321,1680,5,0.75,657,0.391071428571,0.570429864627,0.030770135373
512,997889,1949,5,0.75,762,0.390969728066,0.570281520868,0.030918479132
256,417793,1632,5,0.75,638,0.390931372549,0.570225574228,0.030974425772
1024,2012161,1965,5,0.75,768,0.390839694656,0.570091849788,0.031108150212
1024,1892353,1848,5,0.75,722,0.390692640693,0.569877351959,0.031322648041
1024,1769473,1728,5,0.75,675,0.390625000000,0.569778688982,0.031421311018
1024,2021377,1974,5,0.75,771,0.390577507599,0.569709414977,0.031490585023
1024,2022401,1975,5,0.75,771,0.390379746835,0.569420954514,0.031779045486
512,793601,1550,5,0.75,605,0.390322580645,0.569337569997,0.031862430003
1024,1847297,1804,5,0.75,704,0.390243902439,0.569222807334,0.031977192666
256,463873,1812,5,0.75,707,0.390176600442,0.569124638390,0.032075361610
512,814081,1590,5,0.75,620,0.389937106918,0.568775305127,0.032424694873
256,428801,1675,5,0.75,653,0.389850746269,0.568649336596,0.032550663404
1024,1610753,1573,5,0.75,613,0.389701207883,0.568431214905,0.032768785095
256,436993,1707,5,0.75,665,0.389572349151,0.568243257249,0.032956742751
1024,1714177,1674,5,0.75,652,0.389486260454,0.568117685397,0.033082314603
256,416257,1626,5,0.75,633,0.389298892989,0.567844384946,0.033355615054
256,507137,1981,5,0.75,771,0.389197375063,0.567696307504,0.033503692496
512,898561,1755,5,0.75,683,0.389173789174,0.567661904337,0.033538095663
256,393473,1537,5,0.75,598,0.389069616135,0.567509954059,0.033690045941
256,523777,2046,5,0.75,796,0.389051808407,0.567483979111,0.033716020889
1024,1850369,1807,5,0.75,703,0.389042612064,0.567470565018,0.033729434982
512,858113,1676,5,0.75,652,0.389021479714,0.567439740665,0.033760259335
512,956929,1869,5,0.75,726,0.388443017657,0.566595976562,0.034604023438
512,1032193,2016,5,0.75,783,0.388392857143,0.566522810759,0.034677189241
256,444929,1738,5,0.75,675,0.388377445339,0.566500330588,0.034699669412
512,850433,1661,5,0.75,645,0.388320288983,0.566416960414,0.034783039586
512,875521,1710,5,0.75,664,0.388304093567,0.566393337239,0.034806662761
256,428033,1672,5,0.75,649,0.388157894737,0.566180086736,0.035019913264
512,788993,1541,5,0.75,598,0.388059701493,0.566036858786,0.035163141214
1024,1607681,1570,5,0.75,609,0.387898089172,0.565801125650,0.035398874350
1024,1908737,1864,5,0.75,723,0.387875536481,0.565768229540,0.035431770460
1024,1597441,1560,5,0.75,605,0.387820512821,0.565687970189,0.035512029811
512,930817,1818,5,0.75,705,0.387788778878,0.565641681999,0.035558318001
256,468737,1831,5,0.75,710,0.387766247952,0.565608817637,0.035591182363
512,962561,1880,5,0.75,729,0.387765957447,0.565608393897,0.035591606103
256,460289,1798,5,0.75,697,0.387652947720,0.565443554129,0.035756445871
256,495361,1935,5,0.75,750,0.387596899225,0.565361799920,0.035838200080
256,518657,2026,5,0.75,785,0.387462981244,0.565166462675,0.036033537325
256,509441,1990,5,0.75,771,0.387437185930,0.565128836767,0.036071163233
1024,1641473,1603,5,0.75,621,0.387398627573,0.565072594258,0.036127405742
512,1017857,1988,5,0.75,770,0.387323943662,0.564963657808,0.036236342192
256,459521,1795,5,0.75,695,0.387186629526,0.564763366817,0.036436633183
1024,1751041,1710,5,0.75,662,0.387134502924,0.564687333212,0.036512666788
256,514561,2010,5,0.75,778,0.387064676617,0.564585482225,0.036614517775
512,928769,1814,5,0.75,702,0.386990077178,0.564476668988,0.036723331012
1024,2056193,2008,5,0.75,777,0.386952191235,0.564421407285,0.036778592715
256,506113,1977,5,0.75,765,0.386949924127,0.564418100406,0.036781899594
256,415489,1623,5,0.75,628,0.386937769563,0.564400371351,0.036799628649
256,399617,1561,5,0.75,604,0.386931454196,0.564391159546,0.036808840454
256,453377,1771,5,0.75,685,0.386787125918,0.564180637492,0.037019362508
256,456193,1782,5,0.75,689,0.386644219978,0.563972190109,0.037227809891
1024,1724417,1684,5,0.75,651,0.386579572447,0.563877893058,0.037322106942
256,467713,1827,5,0.75,706,0.386425834702,0.563653646042,0.037546353958
256,496897,1941,5,0.75,750,0.386398763524,0.563614159117,0.037585840883
256,473857,1851,5,0.75,715,0.386277687736,0.563437553924,0.037762446076
1024,2052097,2004,5,0.75,774,0.386227544910,0.563364413921,0.037835586079
512,854017,1668,5,0.75,644,0.386091127098,0.563165430338,0.038034569662
512,946177,1848,5,0.75,713,0.385822510823,0.562773617654,0.038426382346
1024,1985537,1939,5,0.75,748,0.385765858690,0.562690982959,0.038509017041
256,434689,1698,5,0.75,655,0.385747938751,0.562664844338,0.038535155662
512,844289,1649,5,0.75,636,0.385688295937,0.562577847334,0.038622152666
512,1013249,1979,5,0.75,763,0.385548256695,0.562373581412,0.038826418588
1024,1628161,1590,5,0.75,613,0.385534591195,0.562353648457,0.038846351543
1024,1865729,1822,5,0.75,702,0.385290889133,0.561998176478,0.039201823522
1024,1754113,1713,5,0.75,660,0.385288966725,0.561995372390,0.039204627610
512,985601,1925,5,0.75,741,0.384935064935,0.561479159403,0.039720840597
512,824833,1611,5,0.75,620,0.384854127871,0.561361101895,0.039838898105
1024,1770497,1729,5,0.75,665,0.384615384615,0.561012862998,0.040187137002
256,493313,1927,5,0.75,741,0.384535547483,0.560896409887,0.040303590113
512,993793,1941,5,0.75,746,0.384337970118,0.560608216935,0.040591783065
512,964609,1884,5,0.75,724,0.384288747346,0.560536418953,0.040663581047
512,957953,1871,5,0.75,719,0.384286477819,0.560533108545,0.040666891455
512,995329,1944,5,0.75,747,0.384259259259,0.560493406643,0.040706593357
256,479489,1873,5,0.75,719,0.383876134544,0.559934568120,0.041265431880
512,878593,1716,5,0.75,658,0.383449883450,0.559312824019,0.041887175981
256,419329,1638,5,0.75,628,0.383394383394,0.559231869782,0.041968130218
1024,1960961,1915,5,0.75,734,0.383289817232,0.559079346081,0.042120653919
256,425473,1662,5,0.75,637,0.383273164862,0.559055056376,0.042144943624
1024,1595393,1558,5,0.75,597,0.383183568678,0.558924368386,0.042275631614
512,877057,1713,5,0.75,656,0.382953882078,0.558589339830,0.042610660170
512,994817,1943,5,0.75,744,0.382913021101,0.558529738643,0.042670261357
1024,1652737,1614,5,0.75,618,0.382899628253,0.558510203386,0.042689796614
256,494849,1933,5,0.75,740,0.382824624935,0.558400801039,0.042799198961
512,925697,1808,5,0.75,692,0.382743362832,0.558282269417,0.042917730583
256,414721,1620,5,0.75,620,0.382716049383,0.558242429106,0.042957570894
512,923137,1803,5,0.75,690,0.382695507488,0.558212466011,0.042987533989
512,1038337,2028,5,0.75,776,0.382642998028,0.558135873957,0.043064126043
256,431617,1686,5,0.75,645,0.382562277580,0.558018132412,0.043181867588
512,979969,1914,5,0.75,732,0.382445141066,0.557847273175,0.043352726825
1024,1794049,1752,5,0.75,670,0.382420091324,0.557810734784,0.043389265216
1024,1920001,1875,5,0.75,717,0.382400000000,0.557781428907,0.043418571093
512,974849,1904,5,0.75,728,0.382352941176,0.557712787333,0.043487212667
256,416513,1627,5,0.75,622,0.382298709281,0.557633682877,0.043566317123
512,932353,1821,5,0.75,696,0.382207578254,0.557500756112,0.043699243888
1024,1990657,1944,5,0.75,743,0.382201646091,0.557492103261,0.043707896739
1024,1704961,1665,5,0.75,636,0.381981981982,0.557171693846,0.044028306154
1024,1579009,1542,5,0.75,589,0.381971465629,0.557156354342,0.044043645658
256,424961,1660,5,0.75,634,0.381927710843,0.557092532148,0.044107467852
1024,1582081,1545,5,0.75,590,0.381877022654,0.557018596659,0.044181403341
1024,1745921,1705,5,0.75,651,0.381818181818,0.556932769449,0.044267230551
256,505601,1975,5,0.75,754,0.381772151899,0.556865628669,0.044334371331
256,421121,1645,5,0.75,628,0.381762917933,0.556852159698,0.044347840302
512,1047041,2045,5,0.75,780,0.381418092910,0.556349186386,0.044850813614
1024,1807361,1765,5,0.75,673,0.381303116147,0.556181477435,0.045018522565
256,453889,1773,5,0.75,676,0.381274675691,0.556139993235,0.045060006765
1024,1923073,1878,5,0.75,716,0.381256656017,0.556113709136,0.045086290864
256,450817,1761,5,0.75,671,0.381033503691,0.555788211690,0.045411788310
512,1009153,1971,5,0.75,751,0.381024860477,0.555775604409,0.045424395591
512,795649,1554,5,0.75,592,0.380952380952,0.555669883350,0.045530116650
256,522497,2041,5,0.75,777,0.380695737384,0.555295534458,0.045904465542
512,825857,1613,5,0.75,614,0.380657160570,0.555239265028,0.045960734972
256,397057,1551,5,0.75,590,0.380399742102,0.554863785841,0.046336214159
1024,1669121,1630,5,0.75,620,0.380368098160,0.554817628928,0.046382371072
1024,1944577,1899,5,0.75,722,0.380200105319,0.554572588952,0.046627411048
1024,1678337,1639,5,0.75,623,0.380109823063,0.554440900234,0.046759099766
256,414209,1618,5,0.75,615,0.380098887515,0.554424949279,0.046775050721
256,436481,1705,5,0.75,648,0.380058651026,0.554366258990,0.046833741010
256,464129,1813,5,0.75,689,0.380033094319,0.554328981122,0.046871018878
512,893441,1745,5,0.75,663,0.379942693410,0.554197119333,0.047002880667
512,942593,1841,5,0.75,699,0.379684953829,0.553821171761,0.047378828239
256,487681,1905,5,0.75,723,0.379527559055,0.553591590479,0.047608409521
256,447233,1747,5,0.75,663,0.379507727533,0.553562663558,0.047637336442
1024,2034689,1987,5,0.75,754,0.379466532461,0.553502575048,0.047697424952
1024,1748993,1708,5,0.75,648,0.379391100703,0.553392547763,0.047807452237
512,911873,1781,5,0.75,675,0.379000561482,0.552822894195,0.048377105805
512,879617,1718,5,0.75,651,0.378928987194,0.552718493545,0.048481506455
1024,1991681,1945,5,0.75,737,0.378920308483,0.552705834487,0.048494165513
1024,1843201,1800,5,0.75,682,0.378888888889,0.552660004815,0.048539995185
512,847361,1655,5,0.75,627,0.378851963746,0.552606144567,0.048593855433
256,461569,1803,5,0.75,683,0.378813089296,0.552549440994,0.048650559006
1024,1592321,1555,5,0.75,589,0.378778135048,0.552498455559,0.048701544441
512,1021441,1995,5,0.75,755,0.378446115288,0.552014160433,0.049185839567
512,812033,1586,5,0.75,600,0.378310214376,0.551815930818,0.049384069182
1024,1732609,1692,5,0.75,640,0.378250591017,0.551728962192,0.049471037808
256,420353,1642,5,0.75,621,0.378197320341,0.551651259803,0.049548740197
512,890881,1740,5,0.75,658,0.378160919540,0.551598164377,0.049601835623
1024,1662977,1624,5,0.75,614,0.378078817734,0.551478407937,0.049721592063
256,514049,2008,5,0.75,759,0.377988047809,0.551346007888,0.049853992112
1024,1635329,1597,5,0.75,602,0.376956793989,0.549841786577,0.051358213423
256,476929,1863,5,0.75,702,0.376811594203,0.549629993314,0.051570006686
1024,1785857,1744,5,0.75,657,0.376720183486,0.549496658585,0.051703341415
256,464897,1816,5,0.75,684,0.376651982379,0.549397178169,0.051802821831
1024,2061313,2013,5,0.75,758,0.376552409339,0.549251937604,0.051948062396
1024,1708033,1668,5,0.75,628,0.376498800959,0.549173742628,0.052026257372
512,1022977,1998,5,0.75,752,0.376376376376,0.548995170037,0.052204829963
1024,1907713,1863,5,0.75,701,0.376274825550,0.548847044605,0.052352955395
1024,1747969,1707,5,0.75,642,0.376098418278,0.548589731058,0.052610268942
256,471041,1840,5,0.75,692,0.376086956522,0.548573012557,0.052626987443
512,838657,1638,5,0.75,616,0.376068376068,0.548545910487,0.052654089513
512,921601,1800,5,0.75,676,0.375555555556,0.547797893336,0.053402106664
1024,2073601,2025,5,0.75,760,0.375308641975,0.547437736930,0.053762263070
512,1043969,2039,5,0.75,765,0.375183913683,0.547255804072,0.053944195928
512,836609,1634,5,0.75,613,0.375152998776,0.547210710554,0.053989289446
256,414977,1621,5,0.75,608,0.375077112893,0.547100020868,0.054099979132
512,910849,1779,5,0.75,667,0.374929735807,0.546885051721,0.054314948279
1024,1841153,1798,5,0.75,674,0.374860956618,0.546784728096,0.054415271904
512,833537,1628,5,0.75,610,0.374692874693,0.546539558178,0.054660441822
1024,1735681,1695,5,0.75,635,0.374631268437,0.546449697233,0.054750302767
256,473089,1848,5,0.75,692,0.374458874459,0.546198237611,0.055001762389
1024,1758209,1717,5,0.75,642,0.373907979033,0.545394683119,0.055805316881
512,986113,1926,5,0.75,720,0.373831775701,0.545283530390,0.055916469610
256,455681,1780,5,0.75,665,0.373595505618,0.544938898946,0.056261101054
512,796673,1556,5,0.75,581,0.373393316195,0.544643978692,0.056556021308
1024,1964033,1918,5,0.75,715,0.372784150156,0.543755428735,0.057444571265
256,471553,1842,5,0.75,686,0.372421281216,0.543226135962,0.057973864038
1024,1661953,1623,5,0.75,604,0.372150338879,0.542830930408,0.058369069592
1024,1712129,1672,5,0.75,622,0.372009569378,0.542625599306,0.058574400694
1024,1993729,1947,5,0.75,724,0.371854134566,0.542398876891,0.058801123109
512,818689,1599,5,0.75,594,0.371482176360,0.541856326213,0.059343673787
256,422657,1651,5,0.75,613,0.371290127196,0.541576196878,0.059623803122
512,959489,1874,5,0.75,695,0.370864461046,0.540955305996,0.060244694004
512,979457,1913,5,0.75,709,0.370622059592,0.540601731129,0.060598268871
256,484609,1893,5,0.75,701,0.370311674591,0.540148993185,0.061051006815
256,430081,1680,5,0.75,622,0.370238095238,0.540041667881,0.061158332119
256,403969,1578,5,0.75,583,0.369455006337,0.538899428221,0.062300571779
256,497153,1942,5,0.75,717,0.369207003090,0.538537682390,0.062662317610
256,448769,1753,5,0.75,647,0.369081574444,0.538354727972,0.062845272028
512,913921,1785,5,0.75,651,0.364705882353,0.531972197149,0.069227802851
