n,p,M,trim,theta,count,survival,micro_cost,slack
512,1299457,2538,5,0.75,1023,0.403073286052,0.587936175336,0.013263824664
512,1264129,2469,5,0.75,994,0.402592142568,0.587234363358,0.013965636642
512,1161217,2268,5,0.75,912,0.402116402116,0.586540432425,0.014659567575
512,2912257,5688,5,0.75,2286,0.401898734177,0.586222934689,0.014977065311
1024,3474433,3393,5,0.75,1363,0.401709401709,0.585946768020,0.015253231980
1024,3266561,3190,5,0.75,1279,0.400940438871,0.584825133108,0.016374866892
512,1512961,2955,5,0.75,1184,0.400676818951,0.584440608275,0.016759391725
512,1942529,3794,5,0.75,1519,0.400369003690,0.583991618641,0.017208381359
256,696833,2722,5,0.75,1089,0.400073475386,0.583560551173,0.017639448827
256,592129,2313,5,0.75,925,0.399913532209,0.583327252706,0.017872747294
256,671233,2622,5,0.75,1048,0.399694889397,0.583008332989,0.018191667011
1024,2654209,2592,5,0.75,1036,0.399691358025,0.583003182010,0.018196817990
512,1208833,2361,5,0.75,943,0.399407030919,0.582588452985,0.018611547015
256,1630721,6370,5,0.75,2543,0.399215070644,0.582308453308,0.018891546692
256,573953,2242,5,0.75,895,0.399197145406,0.582282306956,0.018917693044
256,644353,2517,5,0.75,1003,0.398490266190,0.581251229291,0.019948770709
256,636673,2487,5,0.75,991,0.398472054684,0.581224665380,0.019975334620
1024,2126849,2077,5,0.75,827,0.398170438132,0.580784717389,0.020415282611
256,576769,2253,5,0.75,897,0.398135818908,0.580734220632,0.020465779368
256,628993,2457,5,0.75,978,0.398046398046,0.580603788372,0.020596211628
1024,4850689,4737,5,0.75,1884,0.397720075997,0.580127804118,0.021072195882
1024,3942401,3850,5,0.75,1531,0.397662337662,0.580043585052,0.021156414948
1024,2575361,2515,5,0.75,1000,0.397614314115,0.579973536300,0.021226463700
512,1079297,2108,5,0.75,838,0.397533206831,0.579855230503,0.021344769497
256,1168897,4566,5,0.75,1815,0.397503285151,0.579811585740,0.021388414260
1024,5145601,5025,5,0.75,1997,0.397412935323,0.579679798459,0.021520201541
256,1710337,6681,5,0.75,2655,0.397395599461,0.579654511791,0.021545488209
256,679169,2653,5,0.75,1054,0.397286091217,0.579494779404,0.021705220596
1024,3081217,3009,5,0.75,1195,0.397141907611,0.579284468373,0.021915531627
256,1251841,4890,5,0.75,1942,0.397137014315,0.579277330848,0.021922669152
1024,2119681,2070,5,0.75,822,0.397101449275,0.579225454492,0.021974545508
512,1124353,2196,5,0.75,872,0.397085610200,0.579202351088,0.021997648912
512,1198081,2340,5,0.75,929,0.397008547009,0.579089944139,0.022110055861
1024,3511297,3429,5,0.75,1361,0.396908719743,0.578944332751,0.022255667249
256,1082369,4228,5,0.75,1678,0.396877956481,0.578899460427,0.022300539573
512,1794049,3504,5,0.75,1390,0.396689497717,0.578624568172,0.022575431828
256,556289,2173,5,0.75,862,0.396686608376,0.578620353682,0.022579646318
512,3148801,6150,5,0.75,2439,0.396585365854,0.578472677954,0.022727322046
512,1136129,2219,5,0.75,880,0.396575033799,0.578457607273,0.022742392727
1024,2869249,2802,5,0.75,1111,0.396502498216,0.578351804445,0.022848195555
256,967937,3781,5,0.75,1499,0.396455964031,0.578283928127,0.022916071873
512,1960961,3830,5,0.75,1518,0.396344647520,0.578121558141,0.023078441859
1024,3066881,2995,5,0.75,1187,0.396327212020,0.578096126138,0.023103873862
1024,5286913,5163,5,0.75,2046,0.396281231842,0.578029057913,0.023170942087
256,1839361,7185,5,0.75,2847,0.396242171190,0.577972082739,0.023227917261
256,1312001,5125,5,0.75,2030,0.396097560976,0.577761149444,0.023438850556
1024,4423681,4320,5,0.75,1711,0.396064814815,0.577713384799,0.023486615201
512,2132993,4166,5,0.75,1650,0.396063370139,0.577711277547,0.023488722453
512,2059777,4023,5,0.75,1593,0.395973154362,0.577579685798,0.023620314202
256,642049,2508,5,0.75,993,0.395933014354,0.577521136239,0.023678863761
512,2391041,4670,5,0.75,1849,0.395931477516,0.577518894556,0.023681105444
512,1876481,3665,5,0.75,1451,0.395907230559,0.577483527134,0.023716472866
512,1647617,3218,5,0.75,1274,0.395898073337,0.577470170104,0.023729829896
1024,5318657,5194,5,0.75,2056,0.395841355410,0.577387439438,0.023812560562
512,1582081,3090,5,0.75,1223,0.395792880259,0.577316731961,0.023883268039
512,3053569,5964,5,0.75,2360,0.395707578806,0.577192308410,0.024007691590
512,1563137,3053,5,0.75,1208,0.395676383885,0.577146806454,0.024053193546
512,2303489,4499,5,0.75,1780,0.395643476328,0.577098806391,0.024101193609
1024,3957761,3865,5,0.75,1529,0.395601552393,0.577037654738,0.024162345262
256,1171969,4578,5,0.75,1810,0.395369156837,0.576698674807,0.024501325193
1024,4553729,4447,5,0.75,1758,0.395322689454,0.576630895928,0.024569104072
256,1696001,6625,5,0.75,2619,0.395320754717,0.576628073856,0.024571926144
256,820481,3205,5,0.75,1267,0.395319812793,0.576626699934,0.024573300066
512,1217537,2378,5,0.75,940,0.395290159798,0.576583447084,0.024616552916
256,1503233,5872,5,0.75,2321,0.395265667575,0.576547721908,0.024652278092
1024,6065153,5923,5,0.75,2341,0.395238899206,0.576508676671,0.024691323329
256,930817,3636,5,0.75,1437,0.395214521452,0.576473118463,0.024726881537
512,3942401,7700,5,0.75,3043,0.395194805195,0.576444359671,0.024755640329
512,1211393,2366,5,0.75,935,0.395181741336,0.576425304289,0.024774695711
512,2552833,4986,5,0.75,1970,0.395106297633,0.576315259582,0.024884740418
1024,2552833,2493,5,0.75,985,0.395106297633,0.576315259582,0.024884740418
1024,2190337,2139,5,0.75,845,0.395044413277,0.576224992990,0.024975007010
512,2489857,4863,5,0.75,1921,0.395023647954,0.576194703995,0.025005296005
512,1320961,2580,5,0.75,1019,0.394961240310,0.576103674119,0.025096325881
512,1230337,2403,5,0.75,949,0.394923012901,0.576047914341,0.025152085659
1024,5388289,5262,5,0.75,2078,0.394906879513,0.576024381643,0.025175618357
256,572417,2236,5,0.75,883,0.394901610018,0.576016695380,0.025183304620
256,549121,2145,5,0.75,847,0.394871794872,0.575973206011,0.025226793989
256,1256449,4908,5,0.75,1938,0.394865525672,0.575964061547,0.025235938453
1024,6301697,6154,5,0.75,2430,0.394865128372,0.575963482031,0.025236517969
1024,7360513,7188,5,0.75,2838,0.394824707846,0.575904523301,0.025295476699
256,711937,2781,5,0.75,1098,0.394822006472,0.575900582987,0.025299417013
512,2231809,4359,5,0.75,1721,0.394815324616,0.575890836607,0.025309163393
512,1102337,2153,5,0.75,850,0.394797956340,0.575865502659,0.025334497341
256,1111553,4342,5,0.75,1714,0.394748963611,0.575794040227,0.025405959773
512,1996289,3899,5,0.75,1539,0.394716593998,0.575746824827,0.025453175173
512,1662977,3248,5,0.75,1282,0.394704433498,0.575729087113,0.025470912887
1024,5824513,5688,5,0.75,2245,0.394690576653,0.575708875056,0.025491124944
1024,6008833,5868,5,0.75,2316,0.394683026585,0.575697862275,0.025502137725
256,1920769,7503,5,0.75,2961,0.394642143143,0.575638228319,0.025561771681
512,3360257,6563,5,0.75,2590,0.394636599116,0.575630141616,0.025569858384
256,1834753,7167,5,0.75,2828,0.394586298312,0.575556771180,0.025643228820
512,3245569,6339,5,0.75,2501,0.394541725824,0.575491756260,0.025708243740
512,3767297,7358,5,0.75,2903,0.394536558848,0.575484219535,0.025715780465
256,785153,3067,5,0.75,1210,0.394522334529,0.575463471468,0.025736528532
1024,3280897,3204,5,0.75,1264,0.394506866417,0.575440909162,0.025759090838
1024,4046849,3952,5,0.75,1559,0.394483805668,0.575407271983,0.025792728017
512,1055233,2061,5,0.75,813,0.394468704512,0.575385244932,0.025814755068
512,1920001,3750,5,0.75,1479,0.394400000000,0.575285030232,0.025914969768
512,3400193,6641,5,0.75,2619,0.394368318024,0.575238817843,0.025961182157
256,805121,3145,5,0.75,1240,0.394276629571,0.575105077998,0.026094922002
256,2020609,7893,5,0.75,3112,0.394273406816,0.575100377181,0.026099622819
1024,3002369,2932,5,0.75,1156,0.394270122783,0.575095586980,0.026104413020
512,3875329,7569,5,0.75,2984,0.394239661778,0.575051155540,0.026148844460
256,1136129,4438,5,0.75,1749,0.394096439838,0.574842247228,0.026357752772
256,1545473,6037,5,0.75,2379,0.394069902269,0.574803538643,0.026396461357
512,1377281,2690,5,0.75,1060,0.394052044610,0.574777490863,0.026422509137
256,1923073,7512,5,0.75,2960,0.394036208733,0.574754392123,0.026445607877
1024,4111361,4015,5,0.75,1582,0.394022415940,0.574734273495,0.026465726505
512,3526657,6888,5,0.75,2714,0.394018583043,0.574728682703,0.026471317297
512,2810881,5490,5,0.75,2163,0.393989071038,0.574685635506,0.026514364494
256,817409,3193,5,0.75,1258,0.393986846226,0.574682390320,0.026517609680
1024,6939649,6777,5,0.75,2670,0.393979637008,0.574671874713,0.026528125287
512,2414593,4716,5,0.75,1858,0.393977947413,0.574669410214,0.026530589786
512,3655681,7140,5,0.75,2813,0.393977591036,0.574668890391,0.026531109609
512,1460737,2853,5,0.75,1124,0.393971258325,0.574659653286,0.026540346714
256,1687297,6591,5,0.75,2596,0.393870429373,0.574512580806,0.026687419194
256,1882369,7353,5,0.75,2896,0.393852849177,0.574486937744,0.026713062256
512,2869249,5604,5,0.75,2207,0.393825838687,0.574447539339,0.026752460661
1024,6596609,6442,5,0.75,2537,0.393821794474,0.574441640315,0.026758359685
1024,6750209,6592,5,0.75,2596,0.393810679612,0.574425427805,0.026774572195
512,1253377,2448,5,0.75,964,0.393790849673,0.574396503194,0.026803496806
1024,3263489,3187,5,0.75,1255,0.393787260747,0.574391268265,0.026808731735
1024,5060609,4942,5,0.75,1946,0.393767705382,0.574362744157,0.026837255843
256,622849,2433,5,0.75,958,0.393752568845,0.574340665497,0.026859334503
256,1178113,4602,5,0.75,1812,0.393741851369,0.574325032628,0.026874967372
256,1848577,7221,5,0.75,2843,0.393712782163,0.574282631312,0.026917368688
512,1721857,3363,5,0.75,1324,0.393696104668,0.574258304961,0.026941695039
256,1125121,4395,5,0.75,1730,0.393629124005,0.574160604725,0.027039395275
1024,6415361,6265,5,0.75,2466,0.393615323224,0.574140474445,0.027059525555
256,552193,2157,5,0.75,849,0.393602225313,0.574121369393,0.027078630607
1024,5726209,5592,5,0.75,2201,0.393597997139,0.574115202037,0.027084797963
1024,5432321,5305,5,0.75,2088,0.393590951932,0.574104925663,0.027095074337
512,1453057,2838,5,0.75,1117,0.393587033122,0.574099209555,0.027100790445
1024,7152641,6985,5,0.75,2749,0.393557623479,0.574056311667,0.027143688333
256,1403137,5481,5,0.75,2157,0.393541324576,0.574032537541,0.027167462459
512,3228161,6305,5,0.75,2481,0.393497224425,0.573968211587,0.027231788413
1024,2297857,2244,5,0.75,883,0.393493761141,0.573963159924,0.027236840076
1024,2787329,2722,5,0.75,1071,0.393460690669,0.573914922228,0.027285077772
512,3630593,7091,5,0.75,2790,0.393456494148,0.573908801042,0.027291198958
1024,7508993,7333,5,0.75,2885,0.393426973953,0.573865741899,0.027334258101
1024,5385217,5259,5,0.75,2069,0.393420802434,0.573856739915,0.027343260085
