n,p,M,trim,theta,count,survival,micro_cost,slack
1024,8380417,8184,5,0.75,3236,0.395405669599,0.576751933543,0.024448066457
512,4143617,8093,5,0.75,3181,0.393055727172,0.573324228927,0.027875771073
1024,8258561,8065,5,0.75,3169,0.392932424055,0.573144374877,0.028055625123
512,4179457,8163,5,0.75,3207,0.392870268284,0.573053712391,0.028146287609
256,2082049,8133,5,0.75,3193,0.392598057297,0.572656656343,0.028543343657
256,2057729,8038,5,0.75,3147,0.391515302314,0.571077313712,0.030122686288
512,4188161,8180,5,0.75,3201,0.391320293399,0.570792867187,0.030407132813
512,4108801,8025,5,0.75,3137,0.390903426791,0.570184811612,0.031015188388
1024,8248321,8055,5,0.75,3147,0.390689013035,0.569872060536,0.031327939464
1024,8344577,8149,5,0.75,3183,0.390600073629,0.569742330543,0.031457669457
512,4162049,8129,5,0.75,3175,0.390576946734,0.569708596881,0.031491403119
512,4165633,8136,5,0.75,3177,0.390486725664,0.569576997411,0.031623002589
1024,8297473,8103,5,0.75,3163,0.390349253363,0.569376475715,0.031823524285
1024,8378369,8182,5,0.75,3189,0.389758005378,0.568514061630,0.032685938370
1024,8352769,8157,5,0.75,3175,0.389236238813,0.567752995470,0.033447004530
256,2081281,8130,5,0.75,3164,0.389175891759,0.567664971238,0.033535028762
1024,8286209,8092,5,0.75,3149,0.389149777558,0.567626880191,0.033573119809
512,4191233,8186,5,0.75,3185,0.389078915221,0.567523518017,0.033676481983
512,4111361,8030,5,0.75,3124,0.389041095890,0.567468353476,0.033731646524
256,2085121,8145,5,0.75,3168,0.388950276243,0.567335880901,0.033864119099
512,4141057,8088,5,0.75,3144,0.388724035608,0.567005878745,0.034194121255
256,2065153,8067,5,0.75,3135,0.388620304946,0.566854573732,0.034345426268
512,4189697,8183,5,0.75,3180,0.388610534034,0.566840321553,0.034359678447
1024,8363009,8167,5,0.75,3173,0.388514754500,0.566700614321,0.034499385679
256,2072321,8095,5,0.75,3143,0.388264360716,0.566335381574,0.034864618426
256,2069761,8085,5,0.75,3139,0.388249845393,0.566314209038,0.034885790962
256,2076161,8110,5,0.75,3146,0.387916152898,0.565827474005,0.035372525995
256,2059009,8043,5,0.75,3120,0.387914957106,0.565825729782,0.035374270218
256,2076929,8113,5,0.75,3147,0.387895969432,0.565798033726,0.035401966274
256,2084609,8143,5,0.75,3156,0.387572147857,0.565325696748,0.035874303252
512,4177409,8159,5,0.75,3162,0.387547493565,0.565289735173,0.035910264827
1024,8383489,8187,5,0.75,3172,0.387443508000,0.565138058351,0.036061941649
256,2059777,8046,5,0.75,3116,0.387273179219,0.564889611094,0.036310388906
512,4151297,8108,5,0.75,3140,0.387271830291,0.564887643502,0.036312356498
256,2052097,8016,5,0.75,3102,0.386976047904,0.564456205420,0.036743794580
1024,8304641,8110,5,0.75,3138,0.386929716400,0.564388624738,0.036811375262
1024,8211457,8019,5,0.75,3101,0.386706571892,0.564063138696,0.037136861304
256,2063617,8061,5,0.75,3114,0.386304428731,0.563476559233,0.037723440767
512,4137473,8081,5,0.75,3120,0.386090830343,0.563164997480,0.038035002520
512,4120577,8048,5,0.75,3106,0.385934393638,0.562936813671,0.038263186329
512,4096513,8001,5,0.75,3085,0.385576802900,0.562415219861,0.038784780139
256,2092801,8175,5,0.75,3152,0.385565749235,0.562399096616,0.038800903384
256,2083073,8137,5,0.75,3137,0.385522919995,0.562336624454,0.038863375546
