n,p,M,trim,theta,count,survival,micro_cost,slack
1024,9376769,9157,5,0.75,3629,0.396308834771,0.578069320468,0.023130679532
512,4780033,9336,5,0.75,3692,0.395458440446,0.576828906865,0.024371093135
256,2101249,8208,5,0.75,3242,0.394980506823,0.576131776898,0.025068223102
512,5053441,9870,5,0.75,3897,0.394832826748,0.575916365802,0.025283634198
1024,10003457,9769,5,0.75,3854,0.394513256219,0.575450229541,0.025749770459
1024,9243649,9027,5,0.75,3561,0.394483217016,0.575406413355,0.025793586645
512,4779521,9335,5,0.75,3682,0.394429566149,0.575328156406,0.025871843594
512,4281857,8363,5,0.75,3298,0.394356092311,0.575220985009,0.025979014991
1024,9028609,8817,5,0.75,3475,0.394124985823,0.574883885356,0.026316114644
1024,9379841,9160,5,0.75,3610,0.394104803493,0.574854446736,0.026345553264
256,2452481,9580,5,0.75,3775,0.394050104384,0.574774660785,0.026425339215
256,2323457,9076,5,0.75,3573,0.393675628030,0.574228437051,0.026971562949
512,4367873,8531,5,0.75,3358,0.393623256359,0.574152045981,0.027047954019
1024,9812993,9583,5,0.75,3771,0.393509339455,0.573985882975,0.027214117025
1024,8860673,8653,5,0.75,3405,0.393505142725,0.573979761484,0.027220238516
512,4907009,9584,5,0.75,3771,0.393468280467,0.573925992962,0.027274007038
512,5071361,9905,5,0.75,3896,0.393336698637,0.573734063304,0.027465936696
256,2473217,9661,5,0.75,3800,0.393334023393,0.573730161103,0.027469838897
512,4243969,8289,5,0.75,3260,0.393292315116,0.573669324016,0.027530675984
256,2146817,8386,5,0.75,3296,0.393036012402,0.573295472305,0.027904527695
256,2238209,8743,5,0.75,3436,0.393000114377,0.573243110246,0.027956889754
256,2352641,9190,5,0.75,3611,0.392927094668,0.573136601256,0.028063398744
512,4221953,8246,5,0.75,3240,0.392917778317,0.573123012114,0.028076987886
512,5064193,9891,5,0.75,3886,0.392882418360,0.573071434899,0.028128565101
512,4905473,9581,5,0.75,3764,0.392860870473,0.573040004430,0.028159995570
1024,9968641,9735,5,0.75,3824,0.392809450437,0.572965001445,0.028234998555
1024,9481217,9259,5,0.75,3636,0.392698995572,0.572803888286,0.028396111714
1024,8650753,8448,5,0.75,3317,0.392637310606,0.572713912531,0.028486087469
256,2469889,9648,5,0.75,3786,0.392412935323,0.572386631240,0.028813368760
1024,9683969,9457,5,0.75,3711,0.392407740298,0.572379053603,0.028820946397
1024,8527873,8328,5,0.75,3267,0.392291066282,0.572208868981,0.028991131019
1024,8989697,8779,5,0.75,3443,0.392185898166,0.572055467250,0.029144532750
1024,9051137,8839,5,0.75,3466,0.392125806087,0.571967814933,0.029232185067
512,4552193,8891,5,0.75,3486,0.392081880553,0.571903743681,0.029296256319
256,2357249,9208,5,0.75,3610,0.392050390964,0.571857811913,0.029342188087
512,4642817,9068,5,0.75,3555,0.392037935598,0.571839644099,0.029360355901
256,2371073,9262,5,0.75,3631,0.392031958540,0.571830925763,0.029369074237
512,4421633,8636,5,0.75,3385,0.391963872163,0.571731612696,0.029468387304
256,2553857,9976,5,0.75,3909,0.391840417001,0.571551536868,0.029648463132
1024,9413633,9193,5,0.75,3602,0.391819862939,0.571521556026,0.029678443974
512,4308481,8415,5,0.75,3297,0.391800356506,0.571493103291,0.029706896709
512,4882433,9536,5,0.75,3736,0.391778523490,0.571461256923,0.029738743077
1024,8667137,8464,5,0.75,3316,0.391776937618,0.571458943717,0.029741056283
512,4635649,9054,5,0.75,3547,0.391760547824,0.571435037016,0.029764962984
1024,9117697,8904,5,0.75,3488,0.391734052111,0.571396389483,0.029803610517
512,4687873,9156,5,0.75,3586,0.391655744867,0.571282167917,0.029917832083
256,2108929,8238,5,0.75,3226,0.391599902889,0.571200714941,0.029999285059
