n,p,M,trim,theta,count,survival,micro_cost,slack
1024,11591681,11320,5,0.75,4481,0.395848056537,0.577397213926,0.023802786074
256,3193601,12475,5,0.75,4930,0.395190380762,0.576437906045,0.024762093955
512,7146497,13958,5,0.75,5515,0.395113913168,0.576326367855,0.024873632145
1024,14257153,13923,5,0.75,5499,0.394957983193,0.576098923179,0.025101076821
256,3202049,12508,5,0.75,4934,0.394467540774,0.575383547464,0.025816452536
512,5644801,11025,5,0.75,4348,0.394376417234,0.575250631621,0.025949368379
1024,11809793,11533,5,0.75,4547,0.394259949710,0.575080748195,0.026119251805
512,5632001,11000,5,0.75,4335,0.394090909091,0.574834179895,0.026365820105
256,3073537,12006,5,0.75,4730,0.393969681826,0.574657353752,0.026542646248
512,6850049,13379,5,0.75,5270,0.393900889454,0.574557010897,0.026642989103
1024,13009921,12705,5,0.75,5004,0.393860684770,0.574498367001,0.026701632999
256,2849537,11131,5,0.75,4383,0.393765160363,0.574359031906,0.026840968094
256,2956033,11547,5,0.75,4545,0.393608729540,0.574130856677,0.027069143323
512,5287937,10328,5,0.75,4065,0.393590240124,0.574103887396,0.027096112604
1024,13191169,12882,5,0.75,5070,0.393572426642,0.574077904055,0.027122095945
512,6494209,12684,5,0.75,4992,0.393566698202,0.574069548362,0.027130451638
512,6287873,12281,5,0.75,4832,0.393453301848,0.573904144647,0.027295855353
512,6026753,11771,5,0.75,4631,0.393424517883,0.573862159393,0.027337840607
256,2991361,11685,5,0.75,4597,0.393410355156,0.573841501166,0.027358498834
1024,10838017,10584,5,0.75,4163,0.393329554044,0.573723641961,0.027476358039
256,2658049,10383,5,0.75,4083,0.393238948281,0.573591481365,0.027608518635
1024,10684417,10434,5,0.75,4103,0.393233659191,0.573583766522,0.027616233478
512,7093249,13854,5,0.75,5447,0.393171647178,0.573493313725,0.027706686275
256,2624513,10252,5,0.75,4030,0.393094030433,0.573380099346,0.027819900654
1024,13997057,13669,5,0.75,5373,0.393079230375,0.573358511486,0.027841488514
1024,11376641,11110,5,0.75,4367,0.393069306931,0.573344036818,0.027855963182
256,2979073,11637,5,0.75,4574,0.393056629716,0.573325545408,0.027874454592
256,2936833,11472,5,0.75,4508,0.392956764296,0.573179878367,0.028020121633
512,5220353,10196,5,0.75,4006,0.392899176148,0.573095878368,0.028104121632
256,2931457,11451,5,0.75,4498,0.392804121911,0.572957229079,0.028242770921
256,3547393,13857,5,0.75,5443,0.392797863896,0.572948100929,0.028251899071
512,5198849,10154,5,0.75,3988,0.392751624975,0.572880655294,0.028319344706
256,3055873,11937,5,0.75,4688,0.392728491246,0.572846911662,0.028353088338
256,2862593,11182,5,0.75,4391,0.392684671794,0.572782995144,0.028417004856
256,2813441,10990,5,0.75,4315,0.392629663330,0.572702757959,0.028497242041
256,3738881,14605,5,0.75,5734,0.392605272167,0.572667180193,0.028532819807
256,3735553,14592,5,0.75,5728,0.392543859649,0.572577601840,0.028622398160
1024,10759169,10507,5,0.75,4124,0.392500237937,0.572513973752,0.028686026248
1024,14973953,14623,5,0.75,5738,0.392395541271,0.572361259693,0.028838740307
1024,12046337,11764,5,0.75,4616,0.392383543013,0.572343758633,0.028856241367
256,3731969,14578,5,0.75,5719,0.392303470984,0.572226962893,0.028973037107
1024,11344897,11079,5,0.75,4346,0.392273670909,0.572183495508,0.029016504492
1024,10426369,10182,5,0.75,3994,0.392260852485,0.572164798126,0.029035201874
512,7023617,13718,5,0.75,5381,0.392258346698,0.572161143101,0.029038856899
512,5526529,10794,5,0.75,4234,0.392254956457,0.572156197983,0.029043802017
256,3526657,13776,5,0.75,5403,0.392203832753,0.572081627237,0.029118372763
256,2564609,10018,5,0.75,3929,0.392194050709,0.572067358821,0.029132641179
256,2983681,11655,5,0.75,4571,0.392192192192,0.572064647927,0.029135352073
512,5641217,11018,5,0.75,4321,0.392176438555,0.572041669145,0.029158330855
1024,11309057,11044,5,0.75,4331,0.392158638175,0.572015704914,0.029184295086
1024,12528641,12235,5,0.75,4798,0.392153657540,0.572008439994,0.029191560006
