n,p,M,trim,theta,count,survival,micro_cost,slack
512,7906817,15443,5,0.75,6085,0.394029657450,0.574744836203,0.026455163797
256,4347137,16981,5,0.75,6686,0.393734173488,0.574313833414,0.026886166586
1024,16770049,16377,5,0.75,6448,0.393722904073,0.574297395468,0.026902604532
256,4208641,16440,5,0.75,6463,0.393126520681,0.573427490708,0.027772509292
256,3902209,15243,5,0.75,5992,0.393098471430,0.573386577132,0.027813422868
256,4141057,16176,5,0.75,6352,0.392680514342,0.572776930946,0.028423069054
512,9896449,19329,5,0.75,7589,0.392622484350,0.572692286458,0.028507713542
1024,16644097,16254,5,0.75,6381,0.392580287929,0.572630737348,0.028569262652
512,9739777,19023,5,0.75,7462,0.392261998633,0.572166469936,0.029033530064
256,5046529,19713,5,0.75,7732,0.392228478669,0.572117576595,0.029082423405
512,8584193,16766,5,0.75,6576,0.392222354766,0.572108644065,0.029091355935
1024,17375233,16968,5,0.75,6654,0.392149929279,0.572003001827,0.029196998173
512,8004097,15633,5,0.75,6130,0.392119234952,0.571958230056,0.029241769944
256,3956737,15456,5,0.75,6060,0.392080745342,0.571902087823,0.029297912177
1024,18558977,18124,5,0.75,7106,0.392076804237,0.571896339197,0.029303660803
1024,16573441,16185,5,0.75,6344,0.391967871486,0.571737446242,0.029462553758
256,3929857,15351,5,0.75,6017,0.391961435737,0.571728058844,0.029471941156
1024,18254849,17827,5,0.75,6987,0.391933583890,0.571687433208,0.029512566792
256,4732417,18486,5,0.75,7245,0.391918208374,0.571665005966,0.029534994034
256,3893249,15208,5,0.75,5960,0.391899000526,0.571636988757,0.029563011243
256,4206337,16431,5,0.75,6439,0.391881200170,0.571611024563,0.029588975437
256,4348417,16986,5,0.75,6656,0.391852113505,0.571568597780,0.029631402220
512,9620993,18791,5,0.75,7363,0.391836517482,0.571545848899,0.029654151101
1024,19529729,19072,5,0.75,7473,0.391830956376,0.571537737284,0.029662262716
256,4567553,17842,5,0.75,6991,0.391828270373,0.571533819391,0.029666180609
512,9438721,18435,5,0.75,7223,0.391809058855,0.571505796828,0.029694203172
512,9000961,17580,5,0.75,6888,0.391808873720,0.571505526784,0.029694473216
1024,18014209,17592,5,0.75,6892,0.391768985903,0.571447345079,0.029752654921
1024,18850817,18409,5,0.75,7212,0.391764897604,0.571441381750,0.029758618250
256,4222721,16495,5,0.75,6462,0.391755077296,0.571427057520,0.029772942480
1024,16284673,15903,5,0.75,6230,0.391749984280,0.571419628676,0.029780371324
512,7716353,15071,5,0.75,5904,0.391745736846,0.571413433227,0.029786566773
1024,16020481,15645,5,0.75,6128,0.391690635986,0.571333061270,0.029866938730
256,4738561,18510,5,0.75,7250,0.391680172880,0.571317799433,0.029882200567
512,9897473,19331,5,0.75,7571,0.391650716466,0.571274833323,0.029925166677
1024,20125697,19654,5,0.75,7697,0.391625114481,0.571237489411,0.029962510589
256,4584193,17907,5,0.75,7012,0.391578712235,0.571169805545,0.030030194455
512,7984129,15594,5,0.75,6106,0.391560856740,0.571143760921,0.030056239079
512,10156033,19836,5,0.75,7767,0.391560798548,0.571143676041,0.030056323959
1024,17459201,17050,5,0.75,6675,0.391495601173,0.571048576969,0.030151423031
1024,16685057,16294,5,0.75,6379,0.391493801399,0.571045951759,0.030154048241
256,4371457,17076,5,0.75,6685,0.391485125322,0.571033296543,0.030166703457
512,9827329,19194,5,0.75,7514,0.391476503074,0.571020719843,0.030179280157
512,8044033,15711,5,0.75,6150,0.391445484056,0.570975474466,0.030224525534
256,4215041,16465,5,0.75,6445,0.391436380200,0.570962195278,0.030237804722
1024,18127873,17703,5,0.75,6929,0.391402587132,0.570912903579,0.030287096421
512,8962561,17505,5,0.75,6850,0.391316766638,0.570787722936,0.030412277064
512,8040449,15704,5,0.75,6145,0.391301579215,0.570765570053,0.030434429947
256,4603393,17982,5,0.75,7036,0.391280169058,0.570734340481,0.030465659519
1024,17797121,17380,5,0.75,6800,0.391254315305,0.570696629333,0.030503370667
1024,16448513,16063,5,0.75,6284,0.391209612152,0.570631423819,0.030568576181
256,4480001,17500,5,0.75,6846,0.391200000000,0.570617403212,0.030582596788
512,8634881,16865,5,0.75,6597,0.391165134895,0.570566547804,0.030633452196
1024,17790977,17374,5,0.75,6796,0.391159203407,0.570557895938,0.030642104062
256,5107457,19951,5,0.75,7804,0.391158337928,0.570556633521,0.030643366479
512,9788417,19118,5,0.75,7478,0.391149701852,0.570544036651,0.030655963349
1024,20422657,19944,5,0.75,7801,0.391145206578,0.570537479695,0.030662520305
1024,19998721,19530,5,0.75,7639,0.391141833077,0.570532558994,0.030667441006
256,4780033,18672,5,0.75,7303,0.391120394173,0.570501287491,0.030698712509
256,4360193,17032,5,0.75,6661,0.391087364960,0.570453109976,0.030746890024
512,9646081,18840,5,0.75,7368,0.391082802548,0.570446455089,0.030753544911
512,7806977,15248,5,0.75,5963,0.391067681007,0.570424398304,0.030775601696
1024,18519041,18085,5,0.75,7072,0.391042300249,0.570387377081,0.030812622919
256,4917761,19210,5,0.75,7511,0.390994273816,0.570317324120,0.030882675880
1024,17668097,17254,5,0.75,6746,0.390981801321,0.570299131322,0.030900868678
512,7807489,15249,5,0.75,5962,0.390976457473,0.570291336606,0.030908663394
1024,17111041,16710,5,0.75,6533,0.390963494913,0.570272428983,0.030927571017
1024,18855937,18414,5,0.75,7198,0.390898229608,0.570177230826,0.031022769174
256,4417537,17256,5,0.75,6745,0.390878535002,0.570148503616,0.031051496384
256,4798721,18745,5,0.75,7327,0.390877567351,0.570147092168,0.031052907832
1024,15978497,15604,5,0.75,6099,0.390861317611,0.570123389753,0.031076610247
512,8882689,17349,5,0.75,6781,0.390858262724,0.570118933793,0.031081066207
512,9238529,18044,5,0.75,7052,0.390822434050,0.570066672891,0.031133327109
512,8345089,16299,5,0.75,6370,0.390821522793,0.570065343700,0.031134656300
256,4857089,18973,5,0.75,7415,0.390818531598,0.570060980643,0.031139019357
512,9968641,19470,5,0.75,7609,0.390806368772,0.570043239539,0.031156760461
256,4263169,16653,5,0.75,6508,0.390800456374,0.570034615518,0.031165384482
512,9017857,17613,5,0.75,6883,0.390790893090,0.570020666192,0.031179333808
512,7979009,15584,5,0.75,6090,0.390785420945,0.570012684337,0.031187315663
1024,16801793,16408,5,0.75,6412,0.390784982935,0.570012045442,0.031187954558
256,4156417,16236,5,0.75,6344,0.390736634639,0.569941523000,0.031258477000
1024,19314689,18862,5,0.75,7370,0.390732690065,0.569935769312,0.031264230688
1024,15645697,15279,5,0.75,5970,0.390732377773,0.569935313794,0.031264686206
1024,18657281,18220,5,0.75,7119,0.390724478595,0.569923791788,0.031276208212
256,4987393,19482,5,0.75,7612,0.390719638641,0.569916732069,0.031283267931
1024,17735681,17320,5,0.75,6767,0.390704387991,0.569894486961,0.031305513039
256,4457729,17413,5,0.75,6803,0.390685120312,0.569866382480,0.031333617520
512,9441281,18440,5,0.75,7204,0.390672451193,0.569847902879,0.031352097121
1024,20033537,19564,5,0.75,7643,0.390666530362,0.569839266557,0.031360733443
256,3865601,15100,5,0.75,5899,0.390662251656,0.569833025493,0.031366974507
512,9925633,19386,5,0.75,7573,0.390642731868,0.569804553278,0.031395446722
256,3993601,15600,5,0.75,6094,0.390641025641,0.569802064518,0.031397935482
512,10079233,19686,5,0.75,7690,0.390632937113,0.569790266320,0.031409733680
512,7908353,15446,5,0.75,6033,0.390586559627,0.569722618569,0.031477381431
256,4738817,18511,5,0.75,7230,0.390578574901,0.569710971781,0.031489028219
512,8260097,16133,5,0.75,6301,0.390565920783,0.569692514061,0.031507485939
512,8637953,16871,5,0.75,6589,0.390551834509,0.569671967350,0.031528032650
256,3919873,15312,5,0.75,5980,0.390543364681,0.569659612976,0.031540387024
256,5078273,19837,5,0.75,7747,0.390532842668,0.569644265215,0.031555734785
512,8032769,15689,5,0.75,6127,0.390528395691,0.569637778707,0.031562221293
256,5116417,19986,5,0.75,7805,0.390523366356,0.569630442751,0.031569557249
256,4672001,18250,5,0.75,7127,0.390520547945,0.569626331722,0.031573668278
512,8183809,15984,5,0.75,6242,0.390515515516,0.569618991252,0.031581008748
512,9361409,18284,5,0.75,7140,0.390505359877,0.569604177898,0.031595822102
1024,17906689,17487,5,0.75,6828,0.390461485675,0.569540181519,0.031659818481
1024,17348609,16942,5,0.75,6615,0.390449769803,0.569523092356,0.031676907644
512,8276993,16166,5,0.75,6312,0.390449090684,0.569522101771,0.031677898229
512,8372737,16353,5,0.75,6385,0.390448235798,0.569520854805,0.031679145195
256,4480769,17503,5,0.75,6834,0.390447351883,0.569519565497,0.031680434503
1024,16992257,16594,5,0.75,6479,0.390442328552,0.569512238300,0.031687761700
512,7713281,15065,5,0.75,5882,0.390441420511,0.569510913800,0.031689086200
512,7921153,15471,5,0.75,6040,0.390407859867,0.569461961122,0.031738038878
512,9116161,17805,5,0.75,6951,0.390395956192,0.569444598024,0.031755401976
512,8742401,17075,5,0.75,6666,0.390395314788,0.569443662450,0.031756337550
256,3939841,15390,5,0.75,6008,0.390383365822,0.569426233289,0.031773766711
1024,16244737,15864,5,0.75,6193,0.390380736258,0.569422397719,0.031777602281
1024,17448961,17040,5,0.75,6652,0.390375586854,0.569414886627,0.031785113373
1024,15962113,15588,5,0.75,6085,0.390364382859,0.569398544104,0.031801455896
256,4413697,17241,5,0.75,6730,0.390348587669,0.569375504712,0.031824495288
512,8352769,16314,5,0.75,6368,0.390339585632,0.569362374040,0.031837625960
512,8318977,16248,5,0.75,6342,0.390324963072,0.569341045085,0.031858954915
512,10003457,19538,5,0.75,7626,0.390316306684,0.569328418588,0.031871581412
1024,17037313,16638,5,0.75,6494,0.390311335497,0.569321167448,0.031878832552
512,8485889,16574,5,0.75,6469,0.390310124291,0.569319400742,0.031880599258
512,8514049,16629,5,0.75,6490,0.390282037405,0.569278432270,0.031921567730
256,4646657,18151,5,0.75,7084,0.390281527189,0.569277688052,0.031922311948
512,7804417,15243,5,0.75,5949,0.390277504428,0.569271820320,0.031928179680
512,10116097,19758,5,0.75,7711,0.390272294767,0.569264221333,0.031935778667
512,7899137,15428,5,0.75,6021,0.390264454239,0.569252784877,0.031947215123
256,4427777,17296,5,0.75,6750,0.390263644773,0.569251604163,0.031948395837
1024,17963009,17542,5,0.75,6846,0.390263367917,0.569251200332,0.031948799668
512,7833601,15300,5,0.75,5971,0.390261437908,0.569248385157,0.031951614843
256,4967681,19405,5,0.75,7573,0.390260242206,0.569246641064,0.031953358936
256,4473089,17473,5,0.75,6819,0.390259257140,0.569245204214,0.031954795786
1024,16509953,16123,5,0.75,6292,0.390249953483,0.569231633589,0.031968366411
512,9315329,18194,5,0.75,7100,0.390238540178,0.569214985761,0.031985014239
1024,17324033,16918,5,0.75,6602,0.390235252394,0.569210190089,0.031989809911
1024,17704961,17290,5,0.75,6747,0.390225563910,0.569196058142,0.032003941858
1024,17405953,16998,5,0.75,6633,0.390222379103,0.569191412677,0.032008587323
512,9225217,18018,5,0.75,7031,0.390220890221,0.569189240943,0.032010759057
1024,18812929,18372,5,0.75,7169,0.390213368169,0.569178269027,0.032021730973
256,5038849,19683,5,0.75,7680,0.390184423106,0.569136048790,0.032063951210
256,4390657,17151,5,0.75,6692,0.390181330535,0.569131537862,0.032068462138
1024,16269313,15888,5,0.75,6199,0.390168680765,0.569113086485,0.032086913515
256,4270081,16680,5,0.75,6508,0.390167865707,0.569111897615,0.032088102385
256,4869889,19023,5,0.75,7422,0.390159280871,0.569099375484,0.032100624516
512,9445889,18449,5,0.75,7198,0.390156648057,0.569095535174,0.032104464826
256,5041921,19695,5,0.75,7684,0.390149784209,0.569085523337,0.032114476663
1024,19015681,18570,5,0.75,7245,0.390145395800,0.569079122256,0.032120877744
256,4822273,18837,5,0.75,7349,0.390136433615,0.569066049713,0.032133950287
256,4488961,17535,5,0.75,6841,0.390134017679,0.569062525748,0.032137474252
1024,18137089,17712,5,0.75,6910,0.390130984643,0.569058101661,0.032141898339
1024,19024897,18579,5,0.75,7248,0.390117875020,0.569038979526,0.032161020474
256,4308481,16830,5,0.75,6565,0.390077243018,0.568979712330,0.032220287670
1024,17074177,16674,5,0.75,6504,0.390068369917,0.568966769728,0.032233230272
256,4727297,18466,5,0.75,7203,0.390068233510,0.568966570760,0.032233429240
256,3915521,15295,5,0.75,5966,0.390062111801,0.568957641430,0.032242358570
256,5066753,19792,5,0.75,7720,0.390056588521,0.568949584988,0.032250415012
512,8719873,17031,5,0.75,6643,0.390053431977,0.568944980748,0.032255019252
256,3940609,15393,5,0.75,6004,0.390047424154,0.568936217537,0.032263782463
256,4544513,17752,5,0.75,6924,0.390040558810,0.568926203517,0.032273796483
512,7897601,15425,5,0.75,6016,0.390016207455,0.568890683816,0.032309316184
1024,17990657,17569,5,0.75,6852,0.390005122659,0.568874515162,0.032325484838
512,9143809,17859,5,0.75,6965,0.389999440058,0.568866226330,0.032333773670
256,4911617,19186,5,0.75,7482,0.389971854477,0.568825989079,0.032374010921
1024,20379649,19902,5,0.75,7761,0.389960807959,0.568809876258,0.032390123742
256,3860993,15082,5,0.75,5881,0.389935021880,0.568772263821,0.032427736179
1024,16843777,16449,5,0.75,6414,0.389932518694,0.568768612590,0.032431387410
512,10222081,19965,5,0.75,7785,0.389932381668,0.568768412719,0.032431587281
1024,16694273,16303,5,0.75,6357,0.389928234067,0.568762362890,0.032437637110
256,4161793,16257,5,0.75,6339,0.389924340284,0.568756683288,0.032443316712
256,4979969,19453,5,0.75,7585,0.389914152059,0.568741822402,0.032458177598
256,3885569,15178,5,0.75,5918,0.389906443537,0.568730578494,0.032469421506
1024,16112641,15735,5,0.75,6135,0.389895138227,0.568714088191,0.032485911809
512,8258561,16130,5,0.75,6289,0.389894606324,0.568713312339,0.032486687661
1024,18213889,17787,5,0.75,6935,0.389891493788,0.568708772290,0.032491227710
1024,17310721,16905,5,0.75,6591,0.389884649512,0.568698789000,0.032501211000
512,9220097,18008,5,0.75,7021,0.389882274545,0.568695324793,0.032504675207
1024,15766529,15397,5,0.75,6003,0.389881145678,0.568693678190,0.032506321810
512,9209857,17988,5,0.75,7013,0.389871025128,0.568678916018,0.032521083982
256,4189697,16366,5,0.75,6380,0.389832579738,0.568622838287,0.032577161713
256,4999681,19530,5,0.75,7613,0.389810547875,0.568590701874,0.032609298126
1024,18118657,17694,5,0.75,6897,0.389793150220,0.568565325073,0.032634674927
512,8083457,15788,5,0.75,6154,0.389789713707,0.568560312459,0.032639687541
256,4992769,19503,5,0.75,7602,0.389786186741,0.568555167909,0.032644832091
512,9899009,19334,5,0.75,7536,0.389779662770,0.568545651828,0.032654348172
512,10223617,19968,5,0.75,7783,0.389773637821,0.568536863634,0.032663136366
512,9581569,18714,5,0.75,7294,0.389761675751,0.568519415359,0.032680584641
256,4677889,18273,5,0.75,7122,0.389755376785,0.568510227478,0.032689772522
256,5118209,19993,5,0.75,7792,0.389736407743,0.568482558598,0.032717441402
256,4041217,15786,5,0.75,6152,0.389712403395,0.568447545054,0.032752454946
1024,19040257,18594,5,0.75,7246,0.389695600731,0.568423036126,0.032776963874
256,4695809,18343,5,0.75,7148,0.389685438587,0.568408213283,0.032791786717
256,3948289,15423,5,0.75,6010,0.389677754004,0.568397004293,0.032802995707
512,8427521,16460,5,0.75,6414,0.389671931956,0.568388512059,0.032811487941
1024,18681857,18244,5,0.75,7109,0.389662354747,0.568374542421,0.032825457579
1024,16997377,16599,5,0.75,6468,0.389662027833,0.568374065574,0.032825934426
1024,20300801,19825,5,0.75,7725,0.389659520807,0.568370408742,0.032829591258
1024,16653313,16263,5,0.75,6337,0.389657504765,0.568367468076,0.032832531924
256,4319233,16872,5,0.75,6574,0.389639639640,0.568341409406,0.032858590594
1024,19763201,19300,5,0.75,7520,0.389637305699,0.568338005043,0.032861994957
1024,19301377,18849,5,0.75,7344,0.389622791660,0.568316834380,0.032883165620
512,9172481,17915,5,0.75,6980,0.389617638850,0.568309318319,0.032890681681
512,8012801,15650,5,0.75,6097,0.389584664537,0.568261220883,0.032938779117
1024,16370689,15987,5,0.75,6228,0.389566522800,0.568234758738,0.032965241262
1024,18896897,18454,5,0.75,7189,0.389563238322,0.568229967890,0.032970032110
256,4350977,16996,5,0.75,6621,0.389562249941,0.568228526204,0.032971473796
512,9570817,18693,5,0.75,7282,0.389557588402,0.568221726727,0.032978273273
512,8451073,16506,5,0.75,6430,0.389555313219,0.568218408070,0.032981591930
512,8992769,17564,5,0.75,6842,0.389546800273,0.568205990802,0.032994009198
512,9028609,17634,5,0.75,6869,0.389531586707,0.568183799786,0.033016200214
512,8066561,15755,5,0.75,6137,0.389527134243,0.568177305272,0.033022694728
256,4367873,17062,5,0.75,6646,0.389520572031,0.568167733411,0.033032266589
256,5065217,19786,5,0.75,7707,0.389517840898,0.568163749688,0.033036250312
256,4787969,18703,5,0.75,7285,0.389509704326,0.568151881412,0.033048118588
512,9118721,17810,5,0.75,6937,0.389500280741,0.568138135856,0.033061864144
256,4590337,17931,5,0.75,6984,0.389493056717,0.568127598654,0.033072401346
512,9768449,19079,5,0.75,7431,0.389485822108,0.568117046011,0.033082953989
1024,19003393,18558,5,0.75,7228,0.389481625175,0.568110924224,0.033089075776
512,7717889,15074,5,0.75,5871,0.389478572376,0.568106471309,0.033093528691
1024,16135169,15757,5,0.75,6137,0.389477692454,0.568105187825,0.033094812175
512,7874561,15380,5,0.75,5990,0.389466840052,0.568089358149,0.033110641851
512,9453569,18464,5,0.75,7191,0.389460571924,0.568080215247,0.033119784753
256,5002241,19540,5,0.75,7610,0.389457523030,0.568075768028,0.033124231972
1024,18594817,18159,5,0.75,7072,0.389448758192,0.568062983342,0.033137016658
256,5089793,19882,5,0.75,7743,0.389447741676,0.568061500619,0.033138499381
512,9799681,19140,5,0.75,7454,0.389446185998,0.568059231455,0.033140768545
1024,19612673,19153,5,0.75,7459,0.389442907116,0.568054448768,0.033145551232
256,5012993,19582,5,0.75,7626,0.389439280972,0.568049159553,0.033150840447
1024,17333249,16927,5,0.75,6592,0.389436994151,0.568045823920,0.033154176080
1024,17651713,17238,5,0.75,6713,0.389430328344,0.568036100951,0.033163899049
512,8698369,16989,5,0.75,6616,0.389428453705,0.568033366540,0.033166633460
512,8489473,16581,5,0.75,6457,0.389421627164,0.568023409118,0.033176590882
512,8444929,16494,5,0.75,6423,0.389414332485,0.568012768855,0.033187231145
512,9197057,17963,5,0.75,6995,0.389411568224,0.568008736811,0.033191263189
512,7846913,15326,5,0.75,5968,0.389403627822,0.567997154676,0.033202845324
512,8696321,16985,5,0.75,6614,0.389402413895,0.567995384001,0.033204615999
256,4057601,15850,5,0.75,6172,0.389400630915,0.567992783287,0.033207216713
512,9031681,17640,5,0.75,6869,0.389399092971,0.567990539990,0.033209460010
256,4655873,18187,5,0.75,7082,0.389399021279,0.567990435418,0.033209564582
256,4475137,17481,5,0.75,6807,0.389394199417,0.567983402088,0.033216597912
256,4361473,17037,5,0.75,6634,0.389387803017,0.567974072086,0.033225927914
512,8778241,17145,5,0.75,6676,0.389384660251,0.567969487942,0.033230512058
256,4618753,18042,5,0.75,7025,0.389369249529,0.567947009348,0.033252990652
256,4594433,17947,5,0.75,6988,0.389368696718,0.567946203000,0.033253797000
256,3873281,15130,5,0.75,5891,0.389358889623,0.567931898043,0.033268101957
1024,15940609,15567,5,0.75,6061,0.389349264470,0.567917858472,0.033282141528
1024,15470593,15108,5,0.75,5882,0.389330156209,0.567889986524,0.033310013476
1024,15694849,15327,5,0.75,5967,0.389312977099,0.567864928500,0.033335071500
1024,17646593,17233,5,0.75,6709,0.389311205246,0.567862344015,0.033337655985
256,3931649,15358,5,0.75,5979,0.389308503711,0.567858403467,0.033341596533
1024,18333697,17904,5,0.75,6970,0.389298480786,0.567843783693,0.033356216307
