n,p,M,trim,theta,count,survival,micro_cost,slack
512,10695169,20889,5,0.75,8218,0.393412800996,0.573845068749,0.027354931251
256,5792513,22627,5,0.75,8898,0.393247005790,0.573603234317,0.027596765683
512,12789761,24980,5,0.75,9816,0.392954363491,0.573176376473,0.028023623527
256,5584129,21813,5,0.75,8568,0.392793288406,0.572941426967,0.028258573033
256,5414657,21151,5,0.75,8302,0.392510992388,0.572529660554,0.028670339446
512,11859457,23163,5,0.75,9091,0.392479385226,0.572483557291,0.028716442709
512,10639873,20781,5,0.75,8156,0.392473894423,0.572475548221,0.028724451779
1024,22142977,21624,5,0.75,8483,0.392295597484,0.572215478344,0.028984521656
256,5843969,22828,5,0.75,8952,0.392149991239,0.572003092205,0.029196907795
512,11673089,22799,5,0.75,8939,0.392078599939,0.571898958466,0.029301041534
256,5489921,21445,5,0.75,8408,0.392072744229,0.571890417133,0.029309582867
256,6239489,24373,5,0.75,9555,0.392032166742,0.571831229453,0.029368770547
512,10848769,21189,5,0.75,8305,0.391948652603,0.571709412937,0.029490587063
256,5463041,21340,5,0.75,8364,0.391940018744,0.571696819302,0.029503180698
256,6301697,24616,5,0.75,9646,0.391858953526,0.571578574864,0.029621425136
1024,23780353,23223,5,0.75,9100,0.391852904448,0.571569751476,0.029630248524
256,5955841,23265,5,0.75,9116,0.391833225876,0.571541047652,0.029658952348
1024,24717313,24138,5,0.75,9457,0.391788880603,0.571476364155,0.029723635845
256,6041089,23598,5,0.75,9245,0.391770489024,0.571449537583,0.029750462417
256,5261569,20553,5,0.75,8051,0.391718970467,0.571374390891,0.029825609109
1024,20571137,20089,5,0.75,7869,0.391706904276,0.571356790742,0.029843209258
1024,20780033,20293,5,0.75,7948,0.391662149510,0.571291509943,0.029908490057
512,12257281,23940,5,0.75,9375,0.391604010025,0.571206705747,0.029993294253
256,5366017,20961,5,0.75,8206,0.391488955680,0.571038883630,0.030161116370
512,11455489,22374,5,0.75,8756,0.391347099312,0.570831967188,0.030368032812
512,10664449,20829,5,0.75,8151,0.391329396514,0.570806145296,0.030393854704
512,11300353,22071,5,0.75,8637,0.391327986951,0.570804089260,0.030395910740
1024,25550849,24952,5,0.75,9764,0.391311317730,0.570779774976,0.030420225024
256,6389249,24958,5,0.75,9766,0.391297379598,0.570759444350,0.030440555650
512,11957249,23354,5,0.75,9138,0.391282007365,0.570737021897,0.030462978103
256,5492737,21456,5,0.75,8395,0.391265846383,0.570713448949,0.030486551051
512,11059201,21600,5,0.75,8451,0.391250000000,0.570690334885,0.030509665115
256,6393857,24976,5,0.75,9771,0.391215566944,0.570640109678,0.030559890322
512,10707457,20913,5,0.75,8181,0.391192081480,0.570605852995,0.030594147005
512,11341313,22151,5,0.75,8663,0.391088438445,0.570454675797,0.030745324203
512,11253761,21980,5,0.75,8596,0.391082802548,0.570446455089,0.030753544911
256,6321409,24693,5,0.75,9657,0.391082493014,0.570446003593,0.030753996407
1024,23412737,22864,5,0.75,8941,0.391051434570,0.570400700707,0.030799299293
256,5145601,20100,5,0.75,7860,0.391044776119,0.570390988469,0.030809011531
256,5315329,20763,5,0.75,8119,0.391032124452,0.570372534324,0.030827465676
512,11069441,21620,5,0.75,8454,0.391026827012,0.570364807301,0.030835192699
256,5613313,21927,5,0.75,8574,0.391024763990,0.570361798107,0.030838201893
1024,21476353,20973,5,0.75,8200,0.390978877605,0.570294866691,0.030905133309
256,5561089,21723,5,0.75,8492,0.390922064172,0.570211996718,0.030988003282
1024,25110529,24522,5,0.75,9586,0.390914281054,0.570200644002,0.030999355998
1024,23666689,23112,5,0.75,9034,0.390879196954,0.570149469161,0.031050530839
1024,21719041,21210,5,0.75,8290,0.390853371051,0.570111798635,0.031088201365
1024,24921089,24337,5,0.75,9512,0.390845215105,0.570099902099,0.031100097901
512,10963457,21413,5,0.75,8369,0.390837341802,0.570088417836,0.031111582164
1024,24828929,24247,5,0.75,9476,0.390811234380,0.570050336676,0.031149663324
256,5141249,20083,5,0.75,7848,0.390778270179,0.570002253991,0.031197746009
1024,23618561,23065,5,0.75,9013,0.390765228701,0.569983231256,0.031216768744
1024,22269953,21748,5,0.75,8498,0.390748574582,0.569958939000,0.031241061000
256,5640961,22035,5,0.75,8610,0.390742001361,0.569949351081,0.031250648919
1024,25378817,24784,5,0.75,9684,0.390735958683,0.569940537028,0.031259462972
1024,23801857,23244,5,0.75,9082,0.390724488040,0.569923805564,0.031276194436
1024,20586497,20104,5,0.75,7855,0.390718265022,0.569914728462,0.031285271538
1024,21145601,20650,5,0.75,8068,0.390702179177,0.569891265111,0.031308734889
